證券代碼,年月,營收成長率,ROE(A)－稅後
3086 華義*,202506,7.74,-5.55
3088 艾訊,202506,-0.07,-0.6
3090 日電貿,202506,43.24,2
3092 鴻碩,202506,-21.65,-12.47
3093 港建*,202506,139.68,3.29
3094 聯傑,202506,12.12,-0.34
3095 及成,202506,5.25,-11.99
3097 拍檔,202506,11.19,3.25
3105 穩懋,202506,-23.8,-1.31
3114 好德,202506,25.23,-1.14
3115 富榮綱,202506,41.48,-2.92
3117 年程,202506,10.48,-49.48
3118 進階,202506,3.26,2.62
3122 笙泉,202506,-14.28,-5.28
3128 昇銳,202506,3.9,-0.72
3130 一零四,202506,7.56,9.17
3131 弘塑,202506,69.52,4.8
3135 凌航,202506,54.28,-0.69
3138 耀登,202506,-0.05,-1.5
3141 晶宏,202506,10.87,-2.1
3147 大綜,202506,35.32,1.28
3149 正達,202506,0.23,-7.07
3150 鈺寶-創,202506,-25.43,-0.47
3152 璟德,202506,-11.75,10.05
3158 嘉實,202506,11.98,6.92
3162 精確,202506,90.51,2.39
3163 波若威,202506,17.2,-0.23
3164 景岳,202506,19.1,-0.77
